geo_id,type,coordinates,highway
435,Point,"[116.4543767306274, 39.95782137376482]",2
436,Point,"[116.45349287021956, 39.95701796337359]",2
437,Point,"[116.44988431881558, 39.953737753796034]",2
438,Point,"[116.4532621435053, 39.9569717061126]",3
439,Point,"[116.4531747614666, 39.95696597373388]",3
440,Point,"[116.4530641413756, 39.95699408692334]",3
441,Point,"[116.45297706492296, 39.957044655543314]",3
442,Point,"[116.4529388671617, 39.957100530759256]",3
443,Point,"[116.45293149262406, 39.95715634706244]",3
444,Point,"[116.45400928498118, 39.957962098580545]",12
445,Point,"[116.45286077616876, 39.95721638442234]",13
446,Point,"[116.45293768402108, 39.957209837360196]",3
447,Point,"[116.45296861380459, 39.9572632803805]",3
448,Point,"[116.45311407348979, 39.9574401089672]",3
449,Point,"[116.45286884391138, 39.95869162761932]",12
450,Point,"[116.45293607144124, 39.95865059765788]",12
451,Point,"[116.45313276460315, 39.95852271612629]",12
452,Point,"[116.45355606764699, 39.95824759008865]",12
453,Point,"[116.45299255682384, 39.95885539783362]",12
454,Point,"[116.4510749109629, 39.96013654584045]",12
455,Point,"[116.45299057161229, 39.958932704700324]",10
456,Point,"[116.45296265183136, 39.9590164614018]",10
457,Point,"[116.45373542943727, 39.95835994714212]",12
458,Point,"[116.45316012358673, 39.95873767218534]",12
459,Point,"[116.45306417126683, 39.9588006586125]",12
460,Point,"[116.45429256677325, 39.95798714553274]",12
461,Point,"[116.45425717606142, 39.95813612083073]",13
462,Point,"[116.4542669600901, 39.958206804462286]",13
463,Point,"[116.45428631864044, 39.95826936899541]",13
464,Point,"[116.45433749659394, 39.95833747130011]",13
465,Point,"[116.45624944576109, 39.960060719746934]",13
466,Point,"[116.45770452375464, 39.96141267737312]",13
467,Point,"[116.45792654967327, 39.96163612244543]",13
468,Point,"[116.45800645150811, 39.96178706110655]",13
469,Point,"[116.45807159661221, 39.96196423155058]",13
470,Point,"[116.45691262531602, 39.95646332066531]",10
471,Point,"[116.45634535870086, 39.95665398922841]",10
472,Point,"[116.45698284463992, 39.956519478378304]",6
473,Point,"[116.45704727863405, 39.956570847652294]",6
474,Point,"[116.41964210074926, 39.922621078353785]",6
475,Point,"[116.41963512380093, 39.923547520235616]",6
476,Point,"[116.4267873676901, 39.91211192328857]",6
477,Point,"[116.42694319355185, 39.912093296299396]",6
478,Point,"[116.42538195372968, 39.91210541172933]",6
479,Point,"[116.42416984481044, 39.91209677886475]",6
480,Point,"[116.42681497514862, 39.911624079945476]",8
481,Point,"[116.42691749968513, 39.910350141723576]",8
482,Point,"[116.42691878319374, 39.91023193554633]",8
483,Point,"[116.42668455409526, 39.91425909822393]",6
484,Point,"[116.42681720787772, 39.91425239119992]",6
485,Point,"[116.42474635907334, 39.91422056576625]",6
486,Point,"[116.42278597305095, 39.914208678983506]",6
487,Point,"[116.42675379341074, 39.912808980368894]",8
488,Point,"[116.42639249693956, 39.9191694388824]",6
489,Point,"[116.42652765087114, 39.91916793184256]",6
490,Point,"[116.42641560505669, 39.918644098510526]",8
491,Point,"[116.42642576738437, 39.91843458164463]",8
492,Point,"[116.4265385740442, 39.917090535388716]",8
493,Point,"[116.42626758711832, 39.921962154102154]",6
494,Point,"[116.42640154449275, 39.92197004916138]",6
495,Point,"[116.4263017619598, 39.921267598297334]",8
496,Point,"[116.42630939865471, 39.92083547421681]",8
497,Point,"[116.42632783591877, 39.92049854562014]",8
498,Point,"[116.39451066782178, 39.98263871658755]",9
499,Point,"[116.39345001661749, 39.98260365537736]",9
